Species,Family,Class,Phylum,Kingdom,Urban score,Number of regional obs.,Number of obs in Boston CNC
Abies balsamea,Pinaceae,Pinopsida,Tracheophyta,Plantae,0.2684258818626404,894,1
Abutilon theophrasti,Malvaceae,Magnoliopsida,Tracheophyta,Plantae,9.971473693847656,263,7
Acalypha virginica,Euphorbiaceae,Magnoliopsida,Tracheophyta,Plantae,38.317047119140625,177,6
Acanalonia conica,Acanaloniidae,Insecta,Arthropoda,Animalia,12.749471664428711,153,4
Acanthocephala terminalis,Coreidae,Insecta,Arthropoda,Animalia,3.8555991649627686,232,6
Acer negundo,Sapindaceae,Magnoliopsida,Tracheophyta,Plantae,10.507831573486328,2170,40
Acer pensylvanicum,Sapindaceae,Magnoliopsida,Tracheophyta,Plantae,0.2698320299386978,994,13
Acer platanoides,Sapindaceae,Magnoliopsida,Tracheophyta,Plantae,15.499743461608887,907,71
Acer rubrum,Sapindaceae,Magnoliopsida,Tracheophyta,Plantae,1.8398499488830566,2835,117
Acer saccharinum,Sapindaceae,Magnoliopsida,Tracheophyta,Plantae,8.597524166107178,916,21
Acer saccharum,Sapindaceae,Magnoliopsida,Tracheophyta,Plantae,0.9422494173049927,1565,37
Acer tataricum,Sapindaceae,Magnoliopsida,Tracheophyta,Plantae,6.373998641967773,121,1
Achillea millefolium,Asteraceae,Magnoliopsida,Tracheophyta,Plantae,1.4040553569793701,2234,99
Acrolophus popeanella,Acrolophidae,Insecta,Arthropoda,Animalia,3.4384231567382813,182,3
Acronicta americana,Noctuidae,Insecta,Arthropoda,Animalia,6.875088691711426,545,6
Actaea pachypoda,Ranunculaceae,Magnoliopsida,Tracheophyta,Plantae,0.4245769828557968,580,7
Actias luna,Saturniidae,Insecta,Arthropoda,Animalia,0.9397509098052979,1365,4
Adelges tsugae,Adelgidae,Insecta,Arthropoda,Animalia,0.634445995092392,138,7
Adonisea florida,Noctuidae,Insecta,Arthropoda,Animalia,0.7238236665725708,124,1
Aegopodium podagraria,Apiaceae,Magnoliopsida,Tracheophyta,Plantae,3.4764628410339355,353,7
Aesculus hippocastanum,Sapindaceae,Magnoliopsida,Tracheophyta,Plantae,16.10730266571045,124,14
Aeshna constricta,Aeshnidae,Insecta,Arthropoda,Animalia,1.3531970977783203,133,5
Aeshna tuberculifera,Aeshnidae,Insecta,Arthropoda,Animalia,0.3190440833568573,103,2
Aeshna umbrosa,Aeshnidae,Insecta,Arthropoda,Animalia,0.7949080467224121,211,2
Agapostemon virescens,Halictidae,Insecta,Arthropoda,Animalia,21.112857818603516,317,16
Ageratina altissima,Asteraceae,Magnoliopsida,Tracheophyta,Plantae,21.197635650634766,6545,9
Agrochola bicolorago,Noctuidae,Insecta,Arthropoda,Animalia,1.2618579864501953,176,4
Agrotis ipsilon,Noctuidae,Insecta,Arthropoda,Animalia,1.1059762835502625,384,1
Ailanthus altissima,Simaroubaceae,Magnoliopsida,Tracheophyta,Plantae,50.15399169921875,3101,57
Ajuga reptans,Lamiaceae,Magnoliopsida,Tracheophyta,Plantae,7.1996376514434814,244,7
Alaus oculatus,Elateridae,Insecta,Arthropoda,Animalia,3.007261037826538,470,6
Albizia julibrissin,Fabaceae,Magnoliopsida,Tracheophyta,Plantae,11.174511909484863,645,2
Alcis porcelaria,Geometridae,Insecta,Arthropoda,Animalia,1.1099594831466675,198,7
Alliaria petiolata,Brassicaceae,Magnoliopsida,Tracheophyta,Plantae,10.319999694824219,4795,491
Allium canadense,Amaryllidaceae,Liliopsida,Tracheophyta,Plantae,6.104615688323975,192,2
Allium vineale,Amaryllidaceae,Liliopsida,Tracheophyta,Plantae,17.49626636505127,540,19
Alnus glutinosa,Betulaceae,Magnoliopsida,Tracheophyta,Plantae,2.07183575630188,118,4
Alnus incana,Betulaceae,Magnoliopsida,Tracheophyta,Plantae,0.29834067821502686,372,8
Alypia octomaculata,Noctuidae,Insecta,Arthropoda,Animalia,2.387997627258301,352,7
Amanita flavoconia,Amanitaceae,Agaricomycetes,Basidiomycota,Fungi,0.4499948173761368,138,6
Amanita muscaria,Amanitaceae,Agaricomycetes,Basidiomycota,Fungi,0.7885847091674805,231,13
Ambrosia artemisiifolia,Asteraceae,Magnoliopsida,Tracheophyta,Plantae,7.791337490081787,795,18
Ambrosia trifida,Asteraceae,Magnoliopsida,Tracheophyta,Plantae,8.133713722229004,611,1
Ambystoma maculatum,Ambystomatidae,Amphibia,Chordata,Animalia,0.4794672131538391,749,44
Amelanchier arborea,Rosaceae,Magnoliopsida,Tracheophyta,Plantae,1.1824434995651245,125,9
Ammophila breviligulata,Poaceae,Liliopsida,Tracheophyta,Plantae,0.7135750353336334,100,4
Amorpha canescens,Fabaceae,Magnoliopsida,Tracheophyta,Plantae,1.5504928827285767,286,1
Amorpha fruticosa,Fabaceae,Magnoliopsida,Tracheophyta,Plantae,5.701934814453125,192,12
Amorpha juglandis,Sphingidae,Insecta,Arthropoda,Animalia,0.9482700824737549,247,1
Ampelopsis heterophylla,Vitaceae,Magnoliopsida,Tracheophyta,Plantae,46.13093566894531,2011,10
Amphicarpaea bracteata,Fabaceae,Magnoliopsida,Tracheophyta,Plantae,0.986865758895874,425,3
Amphion floridensis,Sphingidae,Insecta,Arthropoda,Animalia,7.663349628448486,137,5
Amphipyra pyramidoides,Noctuidae,Insecta,Arthropoda,Animalia,0.7684240341186523,233,3
Anania funebris,Crambidae,Insecta,Arthropoda,Animalia,0.813286542892456,129,1
Anax junius,Aeshnidae,Insecta,Arthropoda,Animalia,2.8413076400756836,901,13
Anaxyrus americanus,Bufonidae,Amphibia,Chordata,Animalia,1.1983883380889893,3428,106
Anaxyrus fowleri,Bufonidae,Amphibia,Chordata,Animalia,1.141978144645691,662,7
Ancyloxypha numitor,Hesperiidae,Insecta,Arthropoda,Animalia,1.7015615701675415,498,5
Andropogon virginicus,Poaceae,Liliopsida,Tracheophyta,Plantae,1.864593744277954,108,1
Anemone quinquefolia,Ranunculaceae,Magnoliopsida,Tracheophyta,Plantae,0.793492317199707,639,44
Antheraea polyphemus,Saturniidae,Insecta,Arthropoda,Animalia,4.296405792236328,1075,4
Anthidium manicatum,Megachilidae,Insecta,Arthropoda,Animalia,42.724998474121094,207,9
Anthrenus verbasci,Dermestidae,Insecta,Arthropoda,Animalia,18.2437744140625,107,10
Apalone spinifera,Trionychidae,Reptilia,Chordata,Animalia,3.9749999046325684,207,1
Aphis nerii,Aphididae,Insecta,Arthropoda,Animalia,18.156696319580078,416,19
Aphomia sociella,Pyralidae,Insecta,Arthropoda,Animalia,1.558921456336975,116,5
Apios americana,Fabaceae,Magnoliopsida,Tracheophyta,Plantae,1.134427547454834,323,9
Apiosporina morbosa,Venturiaceae,Dothideomycetes,Ascomycota,Fungi,2.7185301780700684,306,20
Apis mellifera,Apidae,Insecta,Arthropoda,Animalia,14.256229400634766,3474,177
Apocynum androsaemifolium,Apocynaceae,Magnoliopsida,Tracheophyta,Plantae,0.4071471095085144,369,6
Apocynum cannabinum,Apocynaceae,Magnoliopsida,Tracheophyta,Plantae,4.890495538711548,984,1
Apoda y-inversa,Limacodidae,Insecta,Arthropoda,Animalia,2.756640672683716,102,1
Aquilegia canadensis,Ranunculaceae,Magnoliopsida,Tracheophyta,Plantae,0.7422135472297668,1248,15
Aralia hispida,Araliaceae,Magnoliopsida,Tracheophyta,Plantae,0.24418379366397858,111,2
Aralia nudicaulis,Araliaceae,Magnoliopsida,Tracheophyta,Plantae,0.32898594439029694,1014,36
Aralia racemosa,Araliaceae,Magnoliopsida,Tracheophyta,Plantae,0.4008876085281372,166,1
Aralia spinosa,Araliaceae,Magnoliopsida,Tracheophyta,Plantae,1.8474161624908447,371,1
Araneus diadematus,Araneidae,Arachnida,Arthropoda,Animalia,10.394509315490723,254,5
Arctium lappa,Asteraceae,Magnoliopsida,Tracheophyta,Plantae,7.255000114440918,251,6
Arctium minus,Asteraceae,Magnoliopsida,Tracheophyta,Plantae,11.44752311706543,333,8
Argia apicalis,Coenagrionidae,Insecta,Arthropoda,Animalia,1.8417696952819824,479,8
Argia fumipennis,Coenagrionidae,Insecta,Arthropoda,Animalia,1.080545425415039,659,7
Argia translata,Coenagrionidae,Insecta,Arthropoda,Animalia,2.3658289909362793,127,3
Argiope aurantia,Araneidae,Arachnida,Arthropoda,Animalia,2.4080262184143066,1437,9
Argiope trifasciata,Araneidae,Arachnida,Arthropoda,Animalia,1.6630104780197144,277,1
Argyria nivalis,Crambidae,Insecta,Arthropoda,Animalia,0.9302509725093842,256,4
Argyrotaenia quercifoliana,Tortricidae,Insecta,Arthropoda,Animalia,1.6218990683555603,126,5
Argyrotaenia velutinana,Tortricidae,Insecta,Arthropoda,Animalia,0.7774189710617065,318,3
Arion subfuscus,Arionidae,Gastropoda,Mollusca,Animalia,1.2872178554534912,102,7
Arisaema triphyllum,Araceae,Liliopsida,Tracheophyta,Plantae,1.478519856929779,3166,81
Armadillidium nasatum,Armadillidiidae,Malacostraca,Arthropoda,Animalia,16.11691379547119,144,2
Armadillidium vulgare,Armadillidiidae,Malacostraca,Arthropoda,Animalia,28.58687973022461,434,17
Aronia melanocarpa,Rosaceae,Magnoliopsida,Tracheophyta,Plantae,0.26499998569488525,107,1
Artemisia campestris,Asteraceae,Magnoliopsida,Tracheophyta,Plantae,0.5123783349990845,117,3
Artemisia vulgaris,Asteraceae,Magnoliopsida,Tracheophyta,Plantae,29.927448272705078,1415,80
Artomyces pyxidatus,Auriscalpiaceae,Agaricomycetes,Basidiomycota,Fungi,1.7308807373046875,266,1
Asarum canadense,Aristolochiaceae,Magnoliopsida,Tracheophyta,Plantae,1.5531513690948486,1045,1
Asclepias exaltata,Apocynaceae,Magnoliopsida,Tracheophyta,Plantae,0.39176446199417114,169,2
Asclepias incarnata,Apocynaceae,Magnoliopsida,Tracheophyta,Plantae,1.9733428955078125,1272,34
Asclepias syriaca,Apocynaceae,Magnoliopsida,Tracheophyta,Plantae,5.174459457397461,5219,161
Asclepias tuberosa,Apocynaceae,Magnoliopsida,Tracheophyta,Plantae,2.8574376106262207,1689,21
Asimina triloba,Annonaceae,Magnoliopsida,Tracheophyta,Plantae,2.652902126312256,1072,1
Asparagus officinalis,Asparagaceae,Liliopsida,Tracheophyta,Plantae,1.1824434995651245,175,6
Asplenium platyneuron,Aspleniaceae,Polypodiopsida,Tracheophyta,Plantae,1.8771993517875671,934,7
Asplenium trichomanes,Aspleniaceae,Polypodiopsida,Tracheophyta,Plantae,0.430966854095459,171,1
Athyrium asplenioides,Athyriaceae,Polypodiopsida,Tracheophyta,Plantae,1.1423945426940918,133,7
Athyrium filix-femina,Athyriaceae,Polypodiopsida,Tracheophyta,Plantae,0.5670928359031677,437,12
Atteva aurea,Yponomeutidae,Insecta,Arthropoda,Animalia,10.540235996246338,1516,13
Augochlora pura,Halictidae,Insecta,Arthropoda,Animalia,5.155763626098633,245,4
Automeris io,Saturniidae,Insecta,Arthropoda,Animalia,0.7684240341186523,572,2
Balsa tristrigella,Noctuidae,Insecta,Arthropoda,Animalia,0.7684240341186523,142,1
Baptisia alba,Fabaceae,Magnoliopsida,Tracheophyta,Plantae,2.0912363529205322,314,2
Baptisia australis,Fabaceae,Magnoliopsida,Tracheophyta,Plantae,9.705819129943848,165,6
Baptisia tinctoria,Fabaceae,Magnoliopsida,Tracheophyta,Plantae,0.9729734659194946,121,8
Barbarea vulgaris,Brassicaceae,Magnoliopsida,Tracheophyta,Plantae,5.297181129455566,621,28
Basiaeschna janata,Aeshnidae,Insecta,Arthropoda,Animalia,0.44450080394744873,115,3
Battus philenor,Papilionidae,Insecta,Arthropoda,Animalia,1.0579943656921387,798,1
Berberis thunbergii,Berberidaceae,Magnoliopsida,Tracheophyta,Plantae,1.9630777835845947,1233,82
Berberis vulgaris,Berberidaceae,Magnoliopsida,Tracheophyta,Plantae,0.6055550575256348,112,7
Berteroa incana,Brassicaceae,Magnoliopsida,Tracheophyta,Plantae,2.1100728511810303,231,4
Betula alleghaniensis,Betulaceae,Magnoliopsida,Tracheophyta,Plantae,0.2902054935693741,1022,36
Betula lenta,Betulaceae,Magnoliopsida,Tracheophyta,Plantae,1.2167022228240967,239,28
Betula nigra,Betulaceae,Magnoliopsida,Tracheophyta,Plantae,9.48961067199707,409,36
Betula papyrifera,Betulaceae,Magnoliopsida,Tracheophyta,Plantae,0.4701741337776184,1063,69
Betula populifolia,Betulaceae,Magnoliopsida,Tracheophyta,Plantae,1.0298148393630981,343,44
Bicyrtes quadrifasciatus,Crabronidae,Insecta,Arthropoda,Animalia,7.912784099578857,133,9
Bidens frondosa,Asteraceae,Magnoliopsida,Tracheophyta,Plantae,6.075786113739014,152,11
Bittacomorpha clavipes,Ptychopteridae,Insecta,Arthropoda,Animalia,2.158674955368042,108,4
Blarina brevicauda,Soricidae,Mammalia,Chordata,Animalia,2.239619255065918,188,12
Bleptina caradrinalis,Noctuidae,Insecta,Arthropoda,Animalia,0.8214597702026367,127,1
Boehmeria cylindrica,Urticaceae,Magnoliopsida,Tracheophyta,Plantae,1.9466001987457275,257,3
Boisea trivittata,Rhopalidae,Insecta,Arthropoda,Animalia,10.641841888427734,393,5
Bombus bimaculatus,Apidae,Insecta,Arthropoda,Animalia,6.661696910858154,758,12
Bombus griseocollis,Apidae,Insecta,Arthropoda,Animalia,15.699287414550781,1411,30
Bombus impatiens,Apidae,Insecta,Arthropoda,Animalia,8.124036312103271,3254,209
Bombus perplexus,Apidae,Insecta,Arthropoda,Animalia,0.9900000095367432,169,3
Bombylius major,Bombyliidae,Insecta,Arthropoda,Animalia,1.7004261016845703,127,2
Botrypus virginianus,Ophioglossaceae,Psilotopsida,Tracheophyta,Plantae,0.595350444316864,523,1
Boyeria vinosa,Aeshnidae,Insecta,Arthropoda,Animalia,0.4778708517551422,113,1
Brasenia schreberi,Cabombaceae,Magnoliopsida,Tracheophyta,Plantae,0.28961116075515747,213,5
Buddleja davidii,Scrophulariaceae,Magnoliopsida,Tracheophyta,Plantae,17.679840087890625,102,1
Calopogon tuberosus,Orchidaceae,Liliopsida,Tracheophyta,Plantae,0.2633461654186249,164,3
Calopteryx maculata,Calopterygidae,Insecta,Arthropoda,Animalia,1.5353643894195557,1706,14
Caltha palustris,Ranunculaceae,Magnoliopsida,Tracheophyta,Plantae,0.703548789024353,941,21
Calvatia gigantea,Agaricaceae,Agaricomycetes,Basidiomycota,Fungi,4.030271649360657,160,3
Calycopis cecrops,Lycaenidae,Insecta,Arthropoda,Animalia,2.6496673822402954,372,1
Calystegia sepium,Convolvulaceae,Magnoliopsida,Tracheophyta,Plantae,6.585000038146973,467,24
Campaea perlata,Geometridae,Insecta,Arthropoda,Animalia,0.7684240341186523,594,11
Campanula rapunculoides,Campanulaceae,Magnoliopsida,Tracheophyta,Plantae,9.319829940795898,222,4
Camponotus pennsylvanicus,Formicidae,Insecta,Arthropoda,Animalia,10.249431133270264,560,66
Campsis radicans,Bignoniaceae,Magnoliopsida,Tracheophyta,Plantae,6.1133623123168945,987,5
Candelaria concolor,Candelariaceae,Lecanoromycetes,Ascomycota,Fungi,40.26499938964844,299,5
Canis latrans,Canidae,Mammalia,Chordata,Animalia,1.305794596672058,776,38
Cantharellus cinnabarinus,Cantharellaceae,Agaricomycetes,Basidiomycota,Fungi,1.0110548734664917,219,5
Capnoides sempervirens,Papaveraceae,Magnoliopsida,Tracheophyta,Plantae,0.25307130813598633,207,9
Capsella bursa-pastoris,Brassicaceae,Magnoliopsida,Tracheophyta,Plantae,39.87665557861328,738,18
Cardamine hirsuta,Brassicaceae,Magnoliopsida,Tracheophyta,Plantae,12.618355751037598,830,67
Cardamine impatiens,Brassicaceae,Magnoliopsida,Tracheophyta,Plantae,3.016887664794922,245,2
Carex intumescens,Cyperaceae,Liliopsida,Tracheophyta,Plantae,0.28911417722702026,225,1
Carex pensylvanica,Cyperaceae,Liliopsida,Tracheophyta,Plantae,2.5993704795837402,128,5
Carex vulpinoidea,Cyperaceae,Liliopsida,Tracheophyta,Plantae,0.9347983002662659,109,3
Carpinus caroliniana,Betulaceae,Magnoliopsida,Tracheophyta,Plantae,1.8279274106025696,700,3
Carya cordiformis,Juglandaceae,Magnoliopsida,Tracheophyta,Plantae,1.7331223487854004,355,1
Carya ovata,Juglandaceae,Magnoliopsida,Tracheophyta,Plantae,1.501152753829956,663,28
Castanea dentata,Fagaceae,Magnoliopsida,Tracheophyta,Plantae,0.7191281318664551,397,69
Castor canadensis,Castoridae,Mammalia,Chordata,Animalia,1.1636910438537598,1369,61
Catalpa speciosa,Bignoniaceae,Magnoliopsida,Tracheophyta,Plantae,18.297550201416016,319,20
Catocala ultronia,Erebidae,Insecta,Arthropoda,Animalia,1.115696907043457,140,3
Ceanothus americanus,Rhamnaceae,Magnoliopsida,Tracheophyta,Plantae,0.5981203317642212,295,3
Celastrus orbiculatus,Celastraceae,Magnoliopsida,Tracheophyta,Plantae,8.236305236816406,1278,99
Celastrus scandens,Celastraceae,Magnoliopsida,Tracheophyta,Plantae,0.7986482381820679,153,3
Celithemis elisa,Libellulidae,Insecta,Arthropoda,Animalia,0.6218388974666595,568,26
Celithemis eponina,Libellulidae,Insecta,Arthropoda,Animalia,1.5592268109321594,854,11
Centaurea stoebe,Asteraceae,Magnoliopsida,Tracheophyta,Plantae,1.460326075553894,456,25
Cepaea nemoralis,Helicidae,Gastropoda,Mollusca,Animalia,26.611906051635742,432,41
Cephalanthus occidentalis,Rubiaceae,Magnoliopsida,Tracheophyta,Plantae,1.8852903842926025,1371,53
Cerastium fontanum,Caryophyllaceae,Magnoliopsida,Tracheophyta,Plantae,5.478347301483154,161,9
Ceratomia undulosa,Sphingidae,Insecta,Arthropoda,Animalia,0.7059118747711182,461,1
Cercis canadensis,Fabaceae,Magnoliopsida,Tracheophyta,Plantae,11.257345199584961,1997,18
Cercyonis pegala,Nymphalidae,Insecta,Arthropoda,Animalia,0.6886357069015503,481,11
Chamaecrista fasciculata,Fabaceae,Magnoliopsida,Tracheophyta,Plantae,2.4562714099884033,717,3
Chamaedaphne calyculata,Ericaceae,Magnoliopsida,Tracheophyta,Plantae,0.23958423733711243,348,5
Chamyris cerintha,Noctuidae,Insecta,Arthropoda,Animalia,0.8040972948074341,202,2
Charidotella sexpunctata,Chrysomelidae,Insecta,Arthropoda,Animalia,7.3592023849487305,101,3
Chauliodes pectinicornis,Corydalidae,Insecta,Arthropoda,Animalia,0.7684240341186523,123,6
Chauliodes rastricornis,Corydalidae,Insecta,Arthropoda,Animalia,1.1826800107955933,222,5
Chauliognathus marginatus,Cantharidae,Insecta,Arthropoda,Animalia,6.712126016616821,476,1
Chauliognathus pensylvanicus,Cantharidae,Insecta,Arthropoda,Animalia,4.655200004577637,519,16
Chelidonium majus,Papaveraceae,Magnoliopsida,Tracheophyta,Plantae,6.9577414989471436,684,115
Chelone glabra,Plantaginaceae,Magnoliopsida,Tracheophyta,Plantae,0.5199651122093201,436,7
Chelydra serpentina,Chelydridae,Reptilia,Chordata,Animalia,1.8101502656936646,2212,86
Chenopodium album,Amaranthaceae,Magnoliopsida,Tracheophyta,Plantae,36.660736083984375,630,26
Chimaphila maculata,Ericaceae,Magnoliopsida,Tracheophyta,Plantae,1.36443030834198,1364,196
Chimaphila umbellata,Ericaceae,Magnoliopsida,Tracheophyta,Plantae,0.29793989658355713,175,15
Chionanthus virginicus,Oleaceae,Magnoliopsida,Tracheophyta,Plantae,5.886094093322754,253,2
Chlorochlamys chloroleucaria,Geometridae,Insecta,Arthropoda,Animalia,0.8274877071380615,298,1
Chortophaga viridifasciata,Acrididae,Insecta,Arthropoda,Animalia,3.060722827911377,382,32
Chromagrion conditum,Coenagrionidae,Insecta,Arthropoda,Animalia,0.31834572553634644,146,1
Chrysemys picta,Emydidae,Reptilia,Chordata,Animalia,1.2529747486114502,3378,200
Chrysochus auratus,Chrysomelidae,Insecta,Arthropoda,Animalia,2.0745651721954346,351,2
Chrysodeixis includens,Noctuidae,Insecta,Arthropoda,Animalia,2.7465174198150635,183,1
Chrysoteuchia topiarius,Crambidae,Insecta,Arthropoda,Animalia,0.8274877071380615,156,3
Cichorium intybus,Asteraceae,Magnoliopsida,Tracheophyta,Plantae,8.471520900726318,1958,109
Cicindela punctulata,Carabidae,Insecta,Arthropoda,Animalia,0.7684240341186523,185,2
Cicindela repanda,Carabidae,Insecta,Arthropoda,Animalia,0.7765580713748932,190,1
Cicindela sexguttata,Carabidae,Insecta,Arthropoda,Animalia,1.534999966621399,1037,28
Cicuta maculata,Apiaceae,Magnoliopsida,Tracheophyta,Plantae,1.2021546363830566,201,5
Circaea canadensis,Onagraceae,Magnoliopsida,Tracheophyta,Plantae,1.2909817695617676,317,6
Cirsium arvense,Asteraceae,Magnoliopsida,Tracheophyta,Plantae,7.841943740844727,969,11
Cirsium vulgare,Asteraceae,Magnoliopsida,Tracheophyta,Plantae,10.91688585281372,950,76
Cisseps fulvicollis,Arctiidae,Insecta,Arthropoda,Animalia,1.9614579677581787,580,3
Cladonia cristatella,Cladoniaceae,Lecanoromycetes,Ascomycota,Fungi,0.5022829174995422,242,6
Claytosmunda claytoniana,Osmundaceae,Polypodiopsida,Tracheophyta,Plantae,0.3369870185852051,777,26
Clematis terniflora,Ranunculaceae,Magnoliopsida,Tracheophyta,Plantae,21.535924911499023,281,5
Clematis virginiana,Ranunculaceae,Magnoliopsida,Tracheophyta,Plantae,0.6361665725708008,439,5
Clethra alnifolia,Clethraceae,Magnoliopsida,Tracheophyta,Plantae,2.0138015747070313,407,80
Clinopodium vulgare,Lamiaceae,Magnoliopsida,Tracheophyta,Plantae,0.4963158518075943,204,3
Coccinella septempunctata,Coccinellidae,Insecta,Arthropoda,Animalia,6.7224202156066895,634,6
Coenonympha tullia,Nymphalidae,Insecta,Arthropoda,Animalia,0.8981197476387024,344,9
Coleomegilla maculata,Coccinellidae,Insecta,Arthropoda,Animalia,4.397543907165527,517,12
Colias eurytheme,Pieridae,Insecta,Arthropoda,Animalia,5.709141254425049,448,3
Colias philodice,Pieridae,Insecta,Arthropoda,Animalia,1.574779748916626,455,5
Coluber constrictor,Colubridae,Reptilia,Chordata,Animalia,1.1667887568473816,734,6
Comandra umbellata,Santalaceae,Magnoliopsida,Tracheophyta,Plantae,0.683042049407959,205,3
Commelina communis,Commelinaceae,Liliopsida,Tracheophyta,Plantae,15.793327331542969,736,31
Comptonia peregrina,Myricaceae,Magnoliopsida,Tracheophyta,Plantae,0.44516436755657196,534,47
Conocephalus brevipennis,Tettigoniidae,Insecta,Arthropoda,Animalia,3.798874855041504,132,4
Conopholis americana,Orobanchaceae,Magnoliopsida,Tracheophyta,Plantae,0.5897305011749268,582,5
Convallaria majalis,Asparagaceae,Liliopsida,Tracheophyta,Plantae,9.299783706665039,368,24
Convolvulus arvensis,Convolvulaceae,Magnoliopsida,Tracheophyta,Plantae,21.69499969482422,179,3
Coprinellus micaceus,Psathyrellaceae,Agaricomycetes,Basidiomycota,Fungi,23.17740821838379,199,7
Coprinus comatus,Agaricaceae,Agaricomycetes,Basidiomycota,Fungi,3.2489562034606934,214,6
Coptis trifolia,Ranunculaceae,Magnoliopsida,Tracheophyta,Plantae,0.21477006375789642,569,8
Corbicula fluminea,Cyrenidae,Bivalvia,Mollusca,Animalia,5.214622497558594,201,7
Coreopsis lanceolata,Asteraceae,Magnoliopsida,Tracheophyta,Plantae,2.389580011367798,229,3
Cornus alternifolia,Cornaceae,Magnoliopsida,Tracheophyta,Plantae,0.758535772562027,402,3
Cornus amomum,Cornaceae,Magnoliopsida,Tracheophyta,Plantae,2.59843373298645,161,8
Cornus canadensis,Cornaceae,Magnoliopsida,Tracheophyta,Plantae,0.2129833698272705,1271,1
Cornus florida,Cornaceae,Magnoliopsida,Tracheophyta,Plantae,3.503535747528076,1225,14
Cornus kousa,Cornaceae,Magnoliopsida,Tracheophyta,Plantae,16.56661605834961,116,17
Cornus racemosa,Cornaceae,Magnoliopsida,Tracheophyta,Plantae,4.994999885559082,121,1
Cornus sericea,Cornaceae,Magnoliopsida,Tracheophyta,Plantae,2.0310884714126587,682,6
Corylus americana,Betulaceae,Magnoliopsida,Tracheophyta,Plantae,1.5712244510650635,183,3
Corylus cornuta,Betulaceae,Magnoliopsida,Tracheophyta,Plantae,0.3067307472229004,334,5
Cosmopepla lintneriana,Pentatomidae,Insecta,Arthropoda,Animalia,2.8109636306762695,239,3
Costaconvexa centrostrigaria,Geometridae,Insecta,Arthropoda,Animalia,1.360366940498352,512,2
Cotinis nitida,Cetoniidae,Insecta,Arthropoda,Animalia,21.155540466308594,509,3
Crambus agitatellus,Crambidae,Insecta,Arthropoda,Animalia,0.8274877071380615,428,2
Croptilon divaricatum,Asteraceae,Magnoliopsida,Tracheophyta,Plantae,4.130764007568359,403,38
